#Time(sec),free memory (MB),used memory %,free usable memory %
2,193,19,90
3,192,19,90
4,192,19,90
5,192,19,90
6,191,20,90
7,191,20,90
8,191,20,90
9,191,20,90
10,191,20,90
11,190,20,90
12,189,20,90
13,189,20,90
14,189,20,90
15,189,20,90
16,189,20,90
17,188,21,89
18,188,21,89
19,187,21,89
20,187,21,89
21,187,21,89
22,187,21,89
23,186,22,89
24,186,22,89
25,185,22,89
26,184,23,88
27,184,23,88
28,184,23,88
29,184,23,88
30,184,23,88
31,184,23,88
32,184,23,88
33,184,23,88
34,184,23,88
35,184,23,88
36,184,23,88
37,184,23,88
38,184,23,88
39,184,23,88
40,184,23,88
41,183,23,88
42,183,23,88
43,183,23,88
44,183,23,88
45,183,23,88
46,183,23,88
47,183,23,88
48,183,23,88
49,183,23,88
50,183,23,88
51,183,23,88
52,183,23,88
53,183,23,88
54,183,23,88
55,183,23,88
56,183,23,88
57,183,23,88
58,182,23,88
59,182,23,88
60,182,23,88
61,182,23,88
62,182,23,88
63,182,23,88
64,182,23,88
65,182,23,88
66,181,24,88
67,181,24,88
68,181,24,88
69,181,24,88
70,181,24,88
71,181,24,88
72,181,24,88
73,181,24,88
74,181,24,88
75,181,24,88
76,181,24,88
77,181,24,88
78,181,24,88
79,181,24,88
80,181,24,88
81,181,24,88
82,180,24,88
83,180,24,88
84,180,24,88
85,180,24,88
86,180,24,88
87,180,24,88
88,180,24,88
89,180,24,88
90,180,24,88
91,179,25,87
92,179,25,87
93,179,25,87
94,179,25,87
95,179,25,87
96,179,25,87
97,179,25,87
98,179,25,87
99,179,25,87
100,179,25,87
101,179,25,87
102,179,25,87
103,179,25,87
104,179,25,87
105,179,25,87
106,179,25,87
107,178,25,87
108,178,25,87
109,178,25,87
110,178,25,87
111,178,25,87
112,178,25,87
113,178,25,87
114,178,25,87
115,178,25,87
116,178,25,87
117,178,25,87
118,178,25,87
119,178,25,87
120,178,25,87
121,178,25,87
122,178,25,87
123,177,25,87
124,177,25,87
125,177,25,87
126,177,25,87
127,177,25,87
128,177,25,87
129,177,25,87
130,177,25,87
131,176,26,87
132,176,26,87
133,176,26,87
134,176,26,87
135,176,26,87
136,176,26,87
137,176,26,87
138,176,26,87
139,175,26,86
140,173,27,86
141,172,28,86
142,171,28,86
143,170,28,85
144,170,28,85
145,169,29,85
146,169,29,85
147,168,29,85
148,167,30,85
149,166,30,84
150,165,30,84
151,165,30,84
152,165,30,84
153,164,31,84
154,164,31,84
155,164,31,84
156,164,31,84
157,163,31,84
158,163,31,84
159,162,32,84
160,162,32,84
161,162,32,84
162,162,32,84
163,162,32,84
164,162,32,84
165,162,32,84
166,161,32,83
167,161,32,83
168,161,32,83
169,161,32,83
170,161,32,83
171,161,32,83
172,161,32,83
173,161,32,83
174,161,32,83
175,161,32,83
176,161,32,83
177,160,33,83
178,160,33,83
179,160,33,83
180,160,33,83
181,160,33,83
182,160,33,83
183,160,33,83
184,160,33,83
185,160,33,83
186,160,33,83
187,160,33,83
188,160,33,83
189,160,33,83
190,159,33,83
191,159,33,83
192,159,33,83
193,159,33,83
194,159,33,83
195,159,33,83
196,159,33,83
197,159,33,83
198,158,33,83
199,158,33,83
